ÈÕÆÚ,000889.SZ,002467.SZ,300578.SZ,600050.SH
2015/11/24,16.2002,9.4963,,6.4666
2015/11/25,16.4079,10.4442,,6.4764
2015/11/26,15.7057,10.0313,,6.4375
2015/11/27,14.7464,9.0311,,6.0582
2015/11/30,14.3804,9.1707,,6.0485
2015/12/1,14.3409,9.0078,,6.0388
2015/12/2,14.0837,8.6531,,6.2235
2015/12/3,14.7365,8.9032,,6.2333
2015/12/4,14.687,9.002,,6.0679
2015/12/7,14.687,9.1067,,6.0874
2015/12/8,14.3112,8.7229,,5.9415
2015/12/9,13.9057,9.5952,,5.9512
2015/12/10,13.9057,9.7405,,5.8929
2015/12/11,14.0343,10.0022,,5.8735
2015/12/14,14.1925,9.9557,,6.0485
2015/12/15,14.9145,10.5547,,5.9804
2015/12/16,15.0035,10.9617,,6.0679
2015/12/17,15.231,11.0781,,6.136
2015/12/18,14.8947,10.7582,,6.1068
2015/12/21,15.1123,10.6012,,6.2041
2015/12/22,15.2607,10.9617,,6.1846
2015/12/23,14.8947,10.5489,,6.1068
2015/12/24,14.8156,11.0083,,6.0582
2015/12/25,15.587,12.1074,,6.0777
2015/12/28,14.9343,12.2702,,6.1068
2015/12/29,15.3299,13.2995,,6.0388
2015/12/30,15.676,13.1541,,6.1457
2015/12/31,15.7057,12.2062,,6.0096
2016/1/4,14.1431,10.985,,5.6401
2016/1/5,14.1431,11.1129,,5.5623
2016/1/6,14.3112,11.3397,,5.6012
2016/1/7,12.9364,10.2058,,5.1539
2016/1/8,12.165,9.7231,,5.3094
2016/1/11,10.9485,8.752,,4.8913
2016/1/12,10.632,8.4496,,4.8913
2016/1/13,9.6529,7.9087,,4.8524
2016/1/14,9.9793,8.2751,,4.8719
2016/1/15,9.8012,8.025,,4.5899
2016/1/18,10.3254,8.4147,,4.5899
2016/1/19,10.632,8.7985,,4.7357
2016/1/20,10.2562,8.5368,,4.6287
2016/1/21,9.8408,8.0309,,4.4829
2016/1/22,9.8606,8.374,,4.5315
2016/1/25,9.9793,8.3216,,4.4926
2016/1/26,9.3463,7.8855,,4.0453
2016/1/27,9.0793,7.4493,,3.9675
2016/1/28,8.1693,7.2807,,3.773
2016/1/29,8.1693,7.6529,,3.9383
2016/2/1,8.1693,7.4144,,3.8508
2016/2/2,8.1693,7.7575,,3.9481
2016/2/3,8.1693,7.7575,,3.9578
2016/2/4,8.1693,7.9204,,4.0064
2016/2/5,8.1693,7.7227,,3.9286
2016/2/15,8.1693,7.6529,,3.8994
2016/2/16,8.1693,8.1065,,4.055
2016/2/17,8.1693,8.2111,,4.1231
2016/2/18,8.1693,8.0832,,4.1523
2016/2/19,8.9902,8.217,,4.1425
2016/2/22,9.8903,8.3274,,4.3176
2016/2/23,10.8793,8.2693,,4.2203
2016/2/24,10.7507,8.2053,,4.3273
2016/2/25,9.6727,7.3854,,3.9578
2016/2/26,9.3463,7.0539,,3.9967
2016/2/29,8.4562,6.3503,,3.9092
2016/3/1,8.654,6.3968,,3.9675
2016/3/2,9.1386,6.8038,,4.1328
2016/3/3,9.1287,7.0365,,4.1425
2016/3/4,9.0298,6.4607,,4.2495
2016/3/7,9.188,6.6003,,4.2398
2016/3/8,9.3364,6.6352,,4.2301
2016/3/9,8.9705,6.4549,,4.2009
2016/3/10,8.7825,6.3677,,4.1036
2016/3/11,8.9606,6.5422,,4.1231
2016/3/14,9.4353,6.8446,,4.1814
2016/3/15,9.2573,6.6585,,4.1814
2016/3/16,9.0694,6.5363,,4.2398
2016/3/17,9.4155,6.862,,4.2884
2016/3/18,9.8507,7.2342,,4.269
2016/3/21,10.1276,7.4959,,4.3954
2016/3/22,10.2364,7.4959,,4.3565
2016/3/23,10.2265,7.7808,,4.3856
2016/3/24,9.7913,7.4784,,4.2787
2016/3/25,9.8903,7.5017,,4.2301
2016/3/28,9.7617,7.4261,,4.1912
2016/3/29,9.5441,7.1062,,4.1134
2016/3/30,9.9298,7.4842,,4.2301
2016/3/31,9.9694,7.5366,,4.269
2016/4/1,9.8804,7.554,,4.4148
2016/4/5,10.1474,7.8855,,4.4148
2016/4/6,10.3848,7.9087,,4.3662
2016/4/7,9.9595,7.6761,,4.2884
2016/4/8,9.821,7.5424,,4.2203
2016/4/11,10.0881,7.7517,,4.2884
2016/4/12,10.6518,8.5252,,4.2592
2016/4/13,10.6419,8.6764,,4.3176
2016/4/14,10.8397,8.9148,,4.3467
2016/4/15,11.9276,9.316,,4.2981
2016/4/18,12.3331,8.7868,,4.2301
2016/4/19,12.5507,8.8741,,4.2106
2016/4/20,11.4133,8.1937,,4.0745
2016/4/21,11.0969,8.2344,,4.0356
2016/4/22,11.087,8.4147,,4.0161
2016/4/25,10.9584,8.1704,,3.9675
2016/4/26,11.6606,8.3565,,3.9772
2016/4/27,11.4035,8.31,,3.9772
2016/4/28,11.176,8.2228,,3.9578
2016/4/29,11.2254,8.1006,,3.9286
2016/5/3,11.5518,8.6531,,4.0064
2016/5/4,11.3342,8.5484,,4.0064
2016/5/5,11.3144,8.7578,,4.0064
2016/5/6,10.2859,8.3449,,3.9092
2016/5/9,9.643,7.8099,,3.8119
2016/5/10,9.7122,7.8273,,3.8216
2016/5/11,9.376,7.4552,,3.8314
2016/5/12,9.4056,7.2981,,3.8216
2016/5/13,9.3858,7.2342,,3.8022
2016/5/16,9.7815,7.4203,,3.8314
2016/5/17,9.7518,7.4377,,3.8119
2016/5/18,9.3858,7.0713,,3.773
2016/5/19,9.4353,7.2574,,3.7633
2016/5/20,9.7023,7.4319,,3.7633
2016/5/23,9.7617,7.5017,,3.7925
2016/5/24,9.5935,7.4726,,3.7633
2016/5/25,9.4946,8.0774,,3.7633
2016/5/26,9.4749,7.9553,,3.773
2016/5/27,9.4946,7.9029,,3.7633
2016/5/30,9.4848,7.7924,,3.7827
2016/5/31,10.0782,8.2649,,3.8897
2016/6/1,9.9496,8.2824,,3.8605
2016/6/2,10.7013,8.504,,3.8508
2016/6/3,10.5331,8.3174,,3.8605
2016/6/6,10.4342,8.2824,,3.8508
2016/6/7,10.4441,8.5215,,3.8314
2016/6/8,10.187,8.364,,3.8119
2016/6/13,9.9199,7.7399,,3.7341
2016/6/14,9.8507,7.7574,,3.7536
2016/6/15,10.0979,8.0841,,3.773
2016/6/16,10.1276,8.1657,,3.7341
2016/6/17,10.4144,8.1132,,3.7341
2016/6/20,10.3254,8.4982,,3.7341
2016/6/21,10.0683,8.6673,,3.7147
2016/6/22,10.3254,8.7023,,3.7244
2016/6/23,10.4243,8.574,,3.7341
2016/6/24,10.2661,8.4399,,3.7147
2016/6/27,10.4837,8.7957,,3.7438
2016/6/28,10.6716,8.8015,,3.7438
