ÈÕÆÚ,600759.SH,600777.SH,601857.SH
2016/4/20,8.017,3.9942,7.1246
2016/4/21,8.346,3.9942,7.1059
2016/4/22,8.1865,3.9837,7.1153
2016/4/25,8.0868,3.9548,7.0965
2016/4/26,8.0967,4.0626,7.0777
2016/4/27,8.3061,4.1179,7.0683
2016/4/28,8.2862,4.0626,7.0683
2016/4/29,8.4258,4.0626,6.9651
2016/5/3,8.5155,4.0732,7.0496
2016/5/4,8.3161,3.9995,7.0026
2016/5/5,8.2962,3.9995,7.0026
2016/5/6,7.9372,3.9416,6.89
2016/5/9,7.4985,3.8206,6.7586
2016/5/10,7.3888,3.7627,6.7492
2016/5/11,7.5084,3.9416,6.7773
2016/5/12,7.7876,3.9416,6.7586
2016/5/13,7.7378,3.9416,6.7492
2016/5/16,7.8375,3.9416,6.7586
2016/5/17,8.1965,3.9416,6.7961
2016/5/18,8.017,3.9416,6.7586
2016/5/19,7.9073,3.9416,6.7398
2016/5/20,7.8973,3.9416,6.7679
2016/5/23,7.9571,3.9416,6.7586
2016/5/24,7.7577,3.9416,6.7773
2016/5/25,7.7876,3.9416,6.7492
2016/5/26,8.1466,3.889,6.7773
2016/5/27,8.0569,3.9548,6.7586
2016/5/30,8.017,3.939,6.7867
2016/5/31,8.2663,4.01,6.9181
2016/6/1,8.2164,3.939,6.8712
2016/6/2,8.1765,3.9021,6.8806
2016/6/3,8.1366,3.8732,6.9088
2016/6/6,8.2064,3.8837,6.89
2016/6/7,8.2264,3.8258,6.8806
2016/6/8,8.5853,3.8416,6.8712
2016/6/13,8.0269,3.668,6.7676
2016/6/14,7.7976,3.6916,6.7676
2016/6/15,7.9771,3.8942,6.7959
2016/6/16,7.8574,3.9074,6.7488
2016/6/17,7.7777,4.01,6.7771
2016/6/20,7.7976,4.2389,6.7865
2016/6/21,7.7477,4.1916,6.7676
2016/6/22,7.8175,4.3547,6.7959
2016/6/23,7.7477,4.3073,6.7582
2016/6/24,7.5583,4.2126,6.7018
2016/6/27,7.5583,4.3363,6.7206
2016/6/28,7.5583,4.4047,6.7676
2016/6/29,7.5583,4.4468,6.7959
2016/6/30,7.5583,4.6547,6.8053
2016/7/1,7.5583,4.6836,6.7959
2016/7/4,7.5583,4.6547,6.8618
2016/7/5,7.5583,4.6389,6.8712
2016/7/6,7.5583,4.8625,6.8429
2016/7/7,7.5583,4.8994,6.8618
2016/7/8,7.5583,5.0099,6.8241
2016/7/11,8.1566,4.5099,6.8524
2016/7/12,8.2563,4.5099,6.9371
2016/7/13,8.436,4.5099,6.9747
2016/7/14,8.2763,4.3521,6.9371
2016/7/15,8.4959,4.26,6.9465
2016/7/18,8.3062,4.3126,6.9465
2016/7/19,8.4759,4.31,6.9182
2016/7/20,8.7155,4.2968,6.89
2016/7/21,8.7355,4.1863,6.9088
2016/7/22,8.5059,4.0547,6.8618
2016/7/25,8.4859,4.1232,6.8524
2016/7/26,8.5857,4.1442,6.8994
2016/7/27,8.1764,3.9732,6.8053
2016/7/28,8.2064,3.8837,6.7959
2016/7/29,8.1265,3.889,6.7959
2016/8/1,7.9468,3.8153,6.7959
2016/8/2,8.0367,3.9206,6.8147
2016/8/3,8.0067,3.9127,6.7959
2016/8/4,8.0866,3.9705,6.8147
2016/8/5,8.0167,3.9284,6.8147
2016/8/8,8.1265,3.9416,6.8335
2016/8/9,8.2164,4.1205,6.8524
2016/8/10,8.2862,4.0679,6.8429
