ÈÕÆÚ,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH
2015/3/24,10.7067,25.2741,34.254,,53.8122,29.4684,35.2119
2015/3/25,10.8348,26.2978,33.9555,,51.5692,28.4276,34.0657
2015/3/26,10.953,25.1449,35.3394,,50.4716,28.4806,34.2442
2015/3/27,10.7954,24.3995,34.6972,,49.7844,28.3042,34.0751
2015/3/30,10.4309,24.8269,36.1625,,51.5787,29.6537,34.9958
2015/3/31,10.5787,24.6977,35.3846,,50.5956,29.9006,34.8079
2015/4/1,10.6378,24.9462,35.7962,,51.4165,30.3946,35.5125
2015/4/2,10.9628,24.7176,35.2851,,51.0442,29.9977,35.287
2015/4/3,10.9333,25.7512,35.5972,,52.3518,30.077,35.334
2015/4/7,11.3568,26.9836,36.6464,,53.1154,30.6768,36.715
2015/4/8,11.0416,26.6059,37.2705,,54.5184,31.4442,38.2934
2015/4/9,10.8348,26.9041,36.8318,,54.0603,30.9238,37.4385
2015/4/10,10.9628,26.8345,38.9575,,55.2438,31.6382,38.6974
2015/4/13,11.5243,28.1663,38.9891,,54.3371,31.5677,38.4437
2015/4/14,11.15,27.3513,38.2926,,52.5618,30.7121,37.1284
2015/4/15,10.1354,25.7214,38.2429,,51.2924,30.3152,36.2077
2015/4/16,9.9779,26.4171,41.065,,52.9341,31.6294,37.3163
2015/4/17,10.096,26.268,40.667,,52.8577,31.9205,37.0627
2015/4/20,9.5543,25.135,38.6861,,50.2043,30.0594,35.2119
2015/4/21,10.3226,26.0891,39.7941,,51.531,30.7033,36.2829
2015/4/22,11.3568,27.4209,40.7529,,53.6785,32.5555,37.5794
2015/4/23,12.4896,28.0967,39.8439,,52.6382,31.9381,36.6963
2015/4/24,13.0608,27.3215,38.3831,,50.5479,30.6768,35.5031
2015/4/27,12.8146,27.8383,39.0389,,51.0729,31.5765,36.0762
2015/4/28,12.9328,30.6212,38.9258,,51.2542,31.7882,37.1942
2015/4/29,14.2231,29.9851,39.6177,,50.5479,31.4089,36.3111
2015/4/30,13.8094,32.5393,40.0971,,51.3783,30.7121,35.7568
2015/5/4,14.0458,35.7793,40.9157,,56.5133,31.797,37.2224
2015/5/5,13.6518,35.0439,38.962,,57.2864,30.7474,36.2923
2015/5/6,13.839,33.891,40.0564,,61.5719,32.1322,38.4813
2015/5/7,12.46,31.6548,39.369,,59.348,30.5092,36.1701
2015/5/8,12.854,33.5829,39.3012,,58.0404,30.3769,36.0198
2015/5/11,13.6617,35.1433,40.1243,,62.6409,31.303,36.9123
2015/5/12,13.5533,34.7159,40.2283,,61.4764,31.3648,36.762
2015/5/13,13.1987,38.1845,39.3554,,59.8634,30.8268,36.095
2015/5/14,13.5829,37.5783,39.0343,,60.4933,30.7297,36.0668
2015/5/15,13.1396,36.2862,38.175,,57.5536,29.5037,34.6952
2015/5/18,13.1199,36.2763,37.2705,,56.3701,28.7099,33.4456
2015/5/19,13.4056,37.5186,38.6409,,59.2239,29.6801,34.6576
2015/5/20,13.4647,37.7969,38.6997,,58.6703,29.4949,34.3757
2015/5/21,14.8141,40.868,39.1655,,58.7944,29.5655,34.4509
2015/5/22,14.8141,39.7449,40.5042,,62.5836,30.4475,35.3622
2015/5/25,14.952,39.7648,41.4177,,64.378,31.3824,36.4426
2015/5/26,15.937,40.4307,42.1368,,64.0153,31.7176,36.3862
2015/5/27,15.7892,39.1983,41.1826,,62.555,31.303,35.9447
2015/5/28,14.3019,35.2824,38.5414,,56.876,28.9833,33.5678
2015/5/29,13.8981,34.9246,38.6409,,56.1315,28.4276,33.1262
2015/6/1,14.6368,36.485,39.5318,,59.1857,29.5566,34.2348
2015/6/2,14.824,36.485,39.066,,58.6321,29.2832,33.9248
2015/6/3,15.3164,36.485,38.6861,,59.8252,29.6184,34.1127
2015/6/4,15.4149,36.485,39.8032,,61.8487,30.0329,34.7046
2015/6/5,16.6954,36.485,39.3238,,60.7892,29.9006,34.3851
2015/6/8,16.5969,36.485,41.6032,,66.8691,31.4618,36.1514
2015/6/9,16.0946,36.485,40.4273,,64.4257,30.7562,35.5219
