ÈÕÆÚ,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH
2017/6/15,10.2692,4.0235,4.62,4.8515,6.5409,3.8716,3.73,2.7777,6.59,16.0401,6.8672,7.9129,9.4857,5.6984,25.312,2.6648,2.1665,5.6115,2.05,4.93,5.1119,2.6577,2.9572,2.77,6.12,5.576,2.6436,4.2233,3.1402,2.8614,3.7238,1.81,15.4368
2017/6/16,10.1163,3.9684,4.58,4.832,6.5317,3.8716,3.7091,2.7777,6.57,16.0401,6.8137,7.8656,9.3903,5.6312,25.2851,2.6743,2.1665,5.6292,2.04,4.92,5.0671,2.64,3.0123,2.78,6.15,5.576,2.6436,4.1733,3.1024,2.87,3.7323,1.82,15.2345
2017/6/19,10.2903,4.0051,4.76,4.9491,6.6142,3.9276,3.7649,2.7777,6.62,16.0401,6.9047,7.9412,9.333,5.6312,25.366,2.6838,2.1764,5.6909,2.07,5.02,5.1941,2.6843,3.1409,2.84,6.34,5.8849,2.6823,4.5886,3.1873,2.939,3.8169,1.85,15.3828
2017/6/20,10.3452,4.0235,4.87,4.8808,6.6325,3.9276,3.758,2.7777,6.64,16.0401,7.0012,7.9034,9.3617,5.6408,25.366,2.6648,2.1863,5.6645,2.07,5.04,5.1866,2.6754,3.1593,2.82,6.37,5.8611,2.7017,4.7387,3.2439,2.939,3.8169,1.94,15.3491
2017/6/21,10.4001,4.0796,4.84,4.8418,6.7241,3.9929,3.7999,2.7777,6.65,16.0401,6.9208,7.8467,9.5143,5.5449,25.1053,2.6838,2.1764,5.788,2.07,5.02,5.1493,2.6931,3.2052,2.83,6.27,6.0512,2.7017,4.8288,3.2533,2.9562,3.8085,1.98,15.3019
2017/6/22,10.2811,3.9486,4.7,4.8125,6.4584,3.9369,3.744,2.7777,6.58,16.0401,6.8083,7.6576,9.1899,5.3434,25.1682,2.6743,2.1565,5.7439,2.04,4.9,5.0372,2.6223,3.095,2.77,6.15,6.0116,2.6436,4.6036,3.1779,2.9217,3.6815,1.93,15.6256
2017/6/23,10.1621,3.9019,4.66,4.8222,6.3302,3.9276,3.758,2.7777,6.64,16.0401,6.819,7.6576,8.9799,5.3051,25.1053,2.6743,2.1565,5.6998,2.07,4.89,5.0222,2.6311,3.1501,2.78,6.16,6.1383,2.6436,4.5485,3.2062,2.9131,3.6561,2.03,16.826
2017/6/26,10.391,3.9393,4.77,4.9199,6.3668,4.0396,3.8697,2.7777,6.92,16.0401,6.9208,7.7427,9.0563,5.3722,24.9884,2.6933,2.1764,5.8145,2.07,5.04,5.1044,2.8969,3.2236,2.84,6.25,6.3839,2.7017,4.8188,3.2816,2.9907,3.7662,2.13,16.6912
2017/6/27,10.4276,3.9206,4.76,4.9491,6.2294,4.0208,3.8837,2.7777,6.87,16.0401,6.894,7.8089,8.9036,5.3626,24.4401,2.7028,2.1665,5.8321,2.08,5.04,5.1343,2.8969,3.3154,2.84,6.3,6.764,2.7114,4.8938,3.3853,3.0338,3.8085,2.13,16.354
2017/6/28,10.6382,3.9486,4.8,4.9296,6.1286,4.0396,3.9605,2.7777,7,16.0401,6.9369,7.7143,8.6459,5.3051,24.503,2.6933,2.1863,5.9115,2.07,5.03,5.1493,2.9501,3.3981,2.85,6.28,6.7561,2.7404,5.079,3.4325,3.0941,3.8169,2.14,16.1112
2017/6/29,10.6199,3.9674,4.78,5.037,6.147,4.1052,3.9535,2.7777,6.97,16.0401,6.9047,7.7332,8.7127,5.3243,25.348,2.7124,2.1963,5.9204,2.07,5.07,5.1642,2.9589,3.3889,2.87,6.29,6.7403,2.7598,5.129,3.4702,3.0855,3.8508,2.15,16.7249
2017/6/30,10.6199,3.9206,4.87,5.1053,6.1378,4.077,4.003,2.7777,6.99,16.0401,6.8672,7.7332,8.7795,5.3051,25.348,2.7219,2.1764,5.9204,2.06,5.04,5.1269,2.9235,3.4073,2.85,6.24,6.7561,2.7404,5.0389,3.4607,3.051,3.7915,2.13,16.3877
2017/7/3,10.7389,4.0516,5.08,5.2225,6.2569,4.2176,4.1516,2.7777,7.43,16.0401,7.1136,7.8845,8.9227,5.5545,25.348,2.7504,2.2261,6.1674,2.13,5.15,5.2913,3.0209,3.5542,2.95,6.48,7.1205,2.8566,5.5443,3.6693,3.3527,4.0962,2.2,16.5023
2017/7/4,10.5832,4.0235,5.05,5.1346,6.2019,4.1427,4.0526,2.7777,7.34,16.0401,7.0119,7.7994,8.7795,5.449,25.348,2.7314,2.2062,6.0351,2.1,5.13,5.239,2.9589,3.5175,2.91,6.88,6.764,2.7985,5.4843,3.584,3.3182,4.0116,2.1,16.0437
2017/7/5,10.7847,4.0422,5.27,5.1737,6.2111,4.1801,4.0738,2.7777,7.32,16.0401,7.0869,8.0169,8.8368,5.4873,25.348,2.7504,2.2161,6.1056,2.12,5.16,5.2539,3.0032,3.5542,2.92,6.98,6.8195,2.8276,5.6744,3.6124,3.3699,4.0201,2.11,16.1314
