,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31
SW地面兵装,0.4403250642283844,0.6464887269929152,0.7242595728921495,1.0032471019050047,1.2140315196040543,1.0507461932069442,0.8840333898607818,0.9224262412378033,1.2485193265212142,1.3505409294430097,1.2371325084780065,1.1861753871411842,1.1991127497452112,1.1907070332569918,1.2012939435197627,1.2846380071933599,1.2948379699370876,1.1261508718774396,1.0975944461788825,1.3102608502536288,1.3329492920768935,1.2717910475672194
SW航天装备,0.2938098073609848,0.5007567721352315,0.48875089474017325,0.9198841865254632,1.3646397781712425,1.4133936443456185,1.2578581012553374,1.44439034042148,1.4295217284732777,1.5077688426084939,1.5524135731461919,1.5651867897492766,1.4740389646388252,1.476567252564044,1.2270664748200713,1.4069502451730118,1.312649492228244,1.1283676566587109,1.034039566325961,1.259226358161571,1.3094258049915601,1.3137868450545311
SW航空装备,0.32342809521651383,0.553822335158592,0.6716318661901598,1.0478015222339554,1.3033610884739797,1.2647692371955856,0.9397100326738459,0.8612993293408894,1.1398342461236575,1.1868476883347199,0.9076149904341493,0.7804365495412156,0.645299017944131,0.7541599279812384,0.7359107245946369,0.9180534604203828,0.7418428532817417,0.5121809636379608,0.5011639990040814,0.7953795317640153,0.7275292320233404,0.7493291267761296
SW船舶制造,0.4723465223948686,0.6264143055044293,0.7524885851345574,1.2155396129236737,1.3217722692610792,1.315402671424342,1.1364418355006178,1.216536359749121,1.3133166204269835,1.306886440108231,1.4679588540017556,1.7152283528195518,1.569787109003117,1.7729387279053348,1.5735732149128268,1.5014180436487936,1.4250381163959123,1.2403212991666441,1.2440616855080608,1.4702832835610358,1.5586564726090577,1.4968862886880672
SW视听器材,0.24864704173291707,0.3931766339152857,0.5642649011034099,1.1911568038804738,1.0674645795175652,0.7091859814905586,0.27899053875460306,0.18445929155853963,0.24577135700008917,0.2786050188402297,0.16159764371803598,-0.010966669445729244,-0.028503222855929992,-0.13078442861224013,-0.2619726576760084,-0.2972854573885811,-0.38508996755423863,-0.6887724719137454,-0.5322340865491076,-0.2772905527795554,-0.36174165757916216,-0.3620762878171371
SW其他建材,0.14914316923369525,0.3319450028540428,0.6754335104585425,1.053308233468382,0.9829874834022208,1.3050024303193237,0.9267002659960673,1.220656656677458,1.1194914932466795,1.3970061336817299,1.41967012056634,1.4939724435540773,1.0705213057352807,0.9708465950891959,1.1175945871957873,0.8854701089344208,0.8231780411432065,0.4590711627131715,0.1603058699614806,0.3773183113301881,0.15539617567826633,0.09561073784324467
SW水泥制造,0.16056310870121546,0.3378420782476619,0.38399138160755,0.6825294659387975,0.5771288107003696,0.461255422039423,0.29429100135132785,0.5817469839384131,0.4547288574233098,0.5481514752561175,0.4942267244843841,0.5473638287121843,0.33780846422275124,0.2719087643962776,0.18060615238411287,0.15874010317592635,0.2197253554576135,0.12858772563570714,0.057165900274086884,0.26498102564501835,0.29543323978414826,0.3122277010064557
SW玻璃制造,0.32853521281435816,0.5190445491260541,0.4361340601782019,0.881678783949059,1.106786088887798,1.460245243265497,1.3698128043208748,1.4632075291933306,1.3761009497560102,1.4285858341286253,1.4013898556294433,1.259117962102552,1.36076267109916,1.3550570657158816,1.2757044156574053,1.053749259804545,0.9657309690893575,0.7511773620491471,0.7404515130735105,0.9092458137669036,0.7317113224416418,0.8877030947845774
SW专业工程,0.29007778763657666,0.5100446445379712,0.9310212044586426,1.5469756636443246,1.330931858197081,1.4565802950901536,1.1982400381396134,1.3597029394708526,1.3329610929034563,1.5545728448828564,1.3581647052909978,1.3812666892922447,1.1754807082257934,1.290502786904672,1.0936960619657097,0.7560680388321221,0.6247588875824911,0.27977052408620484,0.12176513289263405,0.3966944991996162,0.25867283906350325,0.2121978877498504
SW园林工程,0.14378158164041072,0.3000777461593529,0.2984514277708994,0.6583971908651527,0.594509059234954,0.6286408797933041,0.7896276177986945,1.071483280062776,0.981714980936916,1.0988336667459484,0.8948438715430261,1.1142511002047037,1.0074346366448692,1.3266994269920058,1.066100437451082,1.0300257647171893,0.5716086238493161,0.21324639224778807,0.2734743688800146,0.5814944125052544,0.44430788051018755,0.3904349571165008
SW基础建设,0.24223705369518758,0.530463570440119,0.9731473477481001,1.7635024972863027,1.4078023758418745,1.3773761201905248,1.2334177615003963,1.3487650087410779,1.2362717487524482,1.1907334511570011,1.145337559659969,1.1776850682359625,0.8740477030151412,0.7972450107800542,0.640394913769497,0.5939169096813316,0.4562089482518674,0.16405618453835918,0.01652479372862123,0.181776578391741,0.027320074622725538,0.0945546680776276
SW房屋建设,0.189744384536324,0.3913181473614764,0.5065464752519412,1.1171548762280017,1.0533433830849377,0.8001182885994369,0.614102847316994,0.7497274696869219,0.9604316227915067,1.092546774313994,0.8406688974107364,0.8303363119799098,0.71301749035641,1.2634766499601102,1.0476951288054235,0.9440911347687497,0.7275539092749578,0.5036675629330944,0.4445963623800966,0.759084227514961,0.6478113377393253,0.6774159271151349
SW装修装饰,0.2132761716374645,0.4244158019582466,0.5792326476935775,1.0006853361211827,0.8820341847968345,0.481362057475947,0.4120039553809535,0.6826973620857404,0.9100103912389088,1.4658407198626557,1.2698620676393797,1.5470400659081076,1.2560082951091003,1.4757239735739778,1.6780443804641885,1.5519097446357937,1.404112569822245,1.1636102102517127,1.1076134332776704,1.290528840370889,1.073554357834535,0.9203279041274114
SW园区开发,0.09456807939814003,0.25673159809673773,0.3444257468982355,0.6096611774762661,0.4147186364055854,0.5730304593679454,0.37067807917787143,0.39744139102111714,0.2984690661219277,0.35810235351504843,0.3860722470570152,0.33501790240129214,0.28275180046554116,0.45663579528554277,0.2312670982420536,0.17508684468793959,0.029795430008211277,-0.11375666462298781,-0.011716342905132876,0.6418045593514187,0.5105865753774604,0.34475329668209476
SW房地产开发,0.19410950691646708,0.4188238438795002,0.43204010243348107,0.6738483832839736,0.5586834809646644,0.5027476084113774,0.21466070390544018,0.4454445055630778,0.21227682078883528,0.5390338052185338,0.350496534123125,0.16842140705185746,0.012808030777605506,0.08783771779668399,0.16796277829070583,-0.021203885217787682,-0.23474776188943325,-0.4137410073993042,-0.38349859674210734,-0.2554270105176587,-0.704719005308762,-0.6458029063870296
SW工业金属,0.26461138877355944,0.24123284716107538,0.12288139361435528,0.6111356421821634,0.4953168511336254,-0.03855050039784208,-0.3289631770579868,0.05351274749236001,0.2628525128573139,0.9665273162316419,0.8066524864423312,0.6516925113402943,0.7810558309111678,0.8404657414776998,0.6420361104256609,0.32309156159928526,0.15076668769636284,-0.14238783031899607,-0.2769782954785969,-0.08490051933888801,-0.18810921812979806,-0.32476479424223015
SW稀有金属,0.30417937935396117,0.3056909643006499,0.4238540826083466,1.060458529163708,0.7605556877849082,0.8091035323458301,0.8651187552970467,1.203434549752179,1.261720385163495,1.194401460770951,0.9766880614405704,1.2685055044183184,1.5545211325215509,2.072632268549164,2.051180836608272,2.1304798006399666,2.052488672467197,1.5398740737935956,1.3225997473031084,1.6419811378065279,1.7252029218964218,1.8096520080088718
SW金属非金属新材料,0.21406579894662256,0.3541567501572216,0.2109526226360066,0.5128697580841644,0.2696785420431338,0.370277909788548,0.05251665385250559,0.14897736356322822,0.28145996301024656,0.2432414460461455,0.13682927334232392,0.001145984880224049,0.0409498375591987,0.5546435456477546,0.802642556131755,0.7484549447095231,0.711987227753438,0.40192786168928885,0.22968418679921332,0.42164959221571974,0.5012384931933505,0.31748757467651323
SW黄金,0.14308702797714737,0.26537536747818036,0.205981738665121,0.7350008724250164,0.6102013128873146,0.7078540025640592,0.6354477578916158,0.934620372254515,1.1951735677136688,1.0852022519750044,1.101116523923116,0.8912845084089842,0.8865638950022281,0.796890864998911,0.758070869420675,0.6730557569487475,0.5003121930378268,0.3515984474595557,0.2341781270085136,0.35823656940846843,0.6640702737282574,0.6348439540753613
