ÈÕÆÚ,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH,000089.SZ,600004.SH,600009.SH,600897.SH
2014/5/8,-0.2688,0,1.0534,1.3343,0.1257,0.2651,0.8609,0.2875,6276309793,7981000000,14685388012,4297398300,12.4957,8.9177,13.818,9.7667,0.8056,1.0327,1.5272,1.6838,2.4648,1.5523,4.9623,3.4266
2014/5/9,1.3477,-1.2968,-1.3403,-0.6237,0.2651,0.2679,0.5054,0.1576,6360896178,7877500000,14488562260,4270595400,12.6641,8.8021,13.6328,9.7057,0.8164,1.0193,1.5068,1.6733,2.4981,1.5322,4.8958,3.4052
2014/5/12,1.8617,1.6058,2.3396,2.3013,0.3936,0.4611,0.8156,0.3456,6479317118,8004000000,14827539943,4368872700,12.8998,8.9434,13.9517,9.9291,0.8316,1.0357,1.542,1.7118,2.5446,1.5568,5.0103,3.4836
2014/5/13,0.2611,0.8621,2.3599,0.1363,0.3545,0.4172,1.3807,0.2129,6496234395,8073000000,15177452390,4374828900,12.9335,9.0205,14.281,9.9426,0.8338,1.0446,1.5784,1.7142,2.5512,1.5702,5.1286,3.4883
2014/5/14,-0.5208,-0.5698,-0.6484,-0.7488,0.1452,0.2174,0.5714,0.1354,6462399841,8027000000,15079039515,4342069800,12.8662,8.9691,14.1884,9.8682,0.8294,1.0387,1.5682,1.7013,2.5379,1.5613,5.0953,3.4622
2014/5/15,-0.7853,-0.4298,-0.3626,-1.9204,0.1683,0.2756,0.5905,0.1772,6411648010,7992500000,15024365695,4258683000,12.7651,8.9306,14.1369,9.6787,0.8229,1.0342,1.5625,1.6687,2.518,1.5546,5.0768,3.3957
2014/5/16,0.2639,0.4317,-1.3828,0.4895,0.0549,0.1751,0.6339,0.102,6428565287,8027000000,14816605179,4279529700,12.7988,8.9691,13.9414,9.7261,0.8251,1.0387,1.5409,1.6768,2.5246,1.5613,5.0066,3.4123
2014/5/19,-0.2632,-1.0029,-0.8118,0.1392,0.0762,0.2162,0.3901,0.1206,6411648010,7946500000,14696322776,4285485900,12.7651,8.8792,13.8283,9.7396,0.8229,1.0283,1.5284,1.6792,2.518,1.5456,4.966,3.4171
2014/5/20,-0.2639,0.1447,0.2976,0.0695,0.0826,0.1179,0.2627,0.1574,6394730732,7958000000,14740061832,4288464000,12.7314,8.892,13.8694,9.7464,0.8208,1.0297,1.5329,1.6803,2.5113,1.5479,4.9808,3.4195
2014/5/21,1.0582,1.4451,0.7418,0.625,0.1128,0.3039,0.3077,0.1853,6462399841,8073000000,14849409471,4315266900,12.8662,9.0205,13.9723,9.8073,0.8294,1.0446,1.5443,1.6908,2.5379,1.5702,5.0177,3.4408
2014/5/22,-0.5236,-0.4274,-1.3991,-1.0352,0.1243,0.2609,0.3565,0.2611,6428565287,8038500000,14641648956,4270595400,12.7988,8.982,13.7768,9.7057,0.8251,1.0402,1.5227,1.6733,2.5246,1.5635,4.9475,3.4052
2014/5/23,0.2632,0.8584,0.224,0.5579,0.0996,0.2778,0.3093,0.1923,6445482564,8107500000,14674453248,4294420200,12.8325,9.0591,13.8077,9.7599,0.8273,1.0491,1.5261,1.6827,2.5313,1.5769,4.9586,3.4242
2014/5/26,0.2625,-0.1418,0.3726,1.0402,0.1087,0.2719,0.3424,0.2226,6462354490,8096000000,14729127068,4339091700,12.8662,9.0462,13.8591,9.8614,0.8294,1.0476,1.5318,1.7002,2.5379,1.5747,4.9771,3.4598
2014/5/27,-0.2618,-0.7102,-1.856,-0.5491,0.0685,0.1991,0.7232,0.116,6445437331,8038500000,14455757968,4315266900,12.8325,8.982,13.6019,9.8073,0.8273,1.0402,1.5033,1.6908,2.5313,1.5635,4.8847,3.4408
2014/5/28,0,0.5722,1.3616,2.0014,0.0708,0.1995,0.3858,0.5567,6445437331,8084500000,14652583720,4401631800,12.8325,9.0334,13.7871,10.0036,0.8273,1.0461,1.5238,1.7247,2.5313,1.5725,4.9512,3.5097
2014/5/29,-0.2625,-1.2802,-0.9701,-1.0825,0.094,0.2816,0.2917,0.2623,6428520173,7981000000,14510431788,4353982200,12.7988,8.9177,13.6533,9.8953,0.8251,1.0327,1.509,1.706,2.5246,1.5523,4.9032,3.4717
2014/5/30,-0.2653,0.5764,0.4521,0.8208,0.0814,0.2347,0.3601,0.2031,6360851540,8027000000,14576040372,4389719400,12.6641,8.9691,13.7151,9.9765,0.8164,1.0387,1.5159,1.72,2.4981,1.5613,4.9254,3.5002
2014/6/3,0,-0.2865,-0.9752,-1.0855,0.0872,0.1672,0.4243,0.1816,6360851540,8004000000,14433888440,4342069800,12.6641,8.9434,13.5813,9.8682,0.8164,1.0357,1.5011,1.7013,2.4981,1.5568,4.8773,3.4622
2014/6/4,-0.7979,-1.4368,-2.2727,-1.4403,0.1207,0.2884,0.4334,0.2854,6310100065,7889000000,14105845521,4279529700,12.563,8.8149,13.2727,9.7261,0.8099,1.0208,1.467,1.6768,2.4781,1.5344,4.7665,3.4123
2014/6/5,0.2681,0.7289,0.3876,0.9047,0.1069,0.1465,0.4625,0.1768,6327017223,7946500000,14160519341,4318245000,12.5967,8.8792,13.3241,9.814,0.8121,1.0283,1.4726,1.692,2.4848,1.5456,4.7849,3.4432
2014/6/6,-0.5348,-0.1447,-1.4672,-0.2759,0.0986,0.1421,0.5079,0.162,6293182906,7935000000,13952758826,4306332600,12.5294,8.8663,13.1286,9.787,0.8077,1.0268,1.451,1.6873,2.4715,1.5434,4.7147,3.4337
