ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/5/21,36.1829,2.8993,10.7776,7.9565,3.76,16.4101,4.8193,,,,,31.1828,9.2149,6.2422,12.0726,18.8435,5.2532,5.9776,10.1062,12.13,11.2374,,,,,,0.7213
2014/5/22,35.7762,2.8914,10.6292,7.9565,3.76,16.362,4.7894,,,,,31.0694,9.183,6.1457,12.102,18.7963,5.2341,5.9323,10.291,12.1786,11.1018,,,,,,0.7166
2014/5/23,35.9311,2.9189,10.6886,7.9565,3.75,16.5353,4.7702,,,,,31.1828,9.2376,6.2711,12.1707,18.853,5.2627,6.0138,10.2229,12.975,11.1651,,,,,,0.7175
2014/5/26,37.0933,2.9621,10.9756,7.9565,3.79,16.7951,4.8758,,,,,31.5703,9.4153,6.358,12.1805,19.1647,5.2913,5.9595,10.0186,13.0915,11.1651,,,,,,0.7175
2014/5/27,38.0037,2.9228,11.1141,7.9565,3.75,16.5738,4.8022,,,,,31.8066,9.3333,6.4351,12.1314,18.9191,5.3676,5.9504,9.8435,12.6739,11.1836,,,,,,0.7156
2014/5/28,38.4804,2.9543,11.0844,7.9565,3.79,16.6315,4.8396,,,,,31.5496,9.3834,6.4255,12.1707,19.0041,5.3771,5.9595,10.1353,13.0915,11.2944,,,,,,0.7108
2014/5/29,37.5561,2.9307,11.0449,7.9565,3.78,17.1416,4.8054,,,,,31.0167,9.3515,6.4641,12.1707,19.023,5.4153,5.9866,9.9894,13.9947,11.4145,,,,,,0.7175
2014/5/30,37.5561,2.9111,11.1438,7.9565,3.77,16.8914,4.7627,,,,,29.7699,9.3151,6.5606,11.6509,18.8908,5.3295,5.9504,10.0672,13.7519,11.4699,,,,,,0.7089
2014/6/3,37.3713,2.9975,11.0844,7.9565,3.75,16.7085,4.7915,,,,,29.4368,9.3606,6.4351,12.8179,18.6924,5.4057,6.0681,9.8046,13.8976,11.3775,,,,,,0.73
2014/6/4,37.4394,2.9582,10.8667,7.9565,3.73,16.439,4.7702,,,,,29.2655,9.2878,6.3773,12.7983,18.6641,5.3676,6.0047,9.8533,13.9656,11.0912,,,,,,0.7261
2014/6/5,37.3615,2.9818,10.9657,7.9565,3.73,17.0646,4.7979,,,,,29.2941,9.306,6.5413,12.867,18.8435,5.4725,6.0047,9.8824,13.8879,11.1836,,,,,,0.7338
2014/6/6,37.2253,2.9975,10.9162,7.9565,3.7,16.824,4.7275,,,,,28.9514,9.3561,6.657,12.7297,19.0986,5.4248,5.9866,10.1062,13.4605,11.082,,,,,,0.7309
2014/6/9,37.1378,3.0328,10.8469,7.9565,3.68,16.4583,4.7286,,,,,29.0276,9.4517,6.6377,13.1122,18.8624,5.3771,5.9776,9.8922,13.0526,11.1651,,,,,,0.7377
2014/6/10,36.7583,3.0328,11.0548,7.9565,3.7,16.7663,4.735,,,,,29.7699,9.5702,6.6377,12.9945,18.8435,5.3199,6.0591,10.0381,13.1401,11.3036,,,,,,0.73
2014/6/11,37.021,3.0328,11.035,7.9565,3.72,17.0261,4.8609,,,,,29.9317,9.6157,6.6281,12.8866,18.8058,5.2341,6.041,10.0381,13.208,11.3313,,,,,,0.73
2014/6/12,37.7799,2.9661,11.0844,7.9565,3.76,17.3465,4.9196,,,,,30.2839,9.766,6.6956,13.1122,19.0702,5.2341,6.0138,9.6587,13.0624,11.2575,,,,,,0.7319
